adduct,Charge,Mult,massdiff,Ion_mode,Formula_add,Formula_ded
M+H,1,1,1.007276,positive,H1,FALSE
M+NH4,1,1,18.033823,positive,N1H4,FALSE
M+Na,1,1,22.989218,positive,Na1,FALSE
M+K,1,1,38.963158,positive,K1,FALSE
M+,1,1,-0.00054858,positive,FALSE,FALSE
M+3H,3,1,3.021828,positive,H3,FALSE
M+2H+Na,3,1,25.00377,positive,H2Na1,FALSE
M+H+2Na,3,1,47.29857,positive,H1Na2,FALSE
M+3Na,3,1,68.967654,positive,Na3,FALSE
M+2H,2,1,2.014552,positive,H2,FALSE
M+H+NH4,2,1,19.0411,positive,H1N1H4,FALSE
M+H+Na,2,1,23.996494,positive,H1Na1,FALSE
M+H+K,2,1,39.970434,positive,H1K1,FALSE
M+ACN+2H,2,1,43.0411,positive,C2H5N1,FALSE
M+2Na,2,1,45.978436,positive,Na2,FALSE
M+2ACN+2H,2,1,84.067646,positive,C4H8N2,FALSE
M+3ACN+2H,2,1,125.094194,positive,C6H11N3,FALSE
M+CH3OH+H,1,1,33.033489,positive,C1H5O1,FALSE
M+ACN+H,1,1,42.033823,positive,C2H4N1,FALSE
M+2Na-H,1,1,44.97116,positive,Na2,H1
M+IsoProp+H,1,1,61.06534,positive,C3H9O1,FALSE
M+ACN+Na,1,1,64.015765,positive,C2H3N1Na1,FALSE
M+2K-H,1,1,76.91904,positive,K2,H1
M+DMSO+H,1,1,79.02122,positive,C2H7S1O1,FALSE
M+2ACN+H,1,1,83.06037,positive,C4H7N2,FALSE
M+IsoProp+Na+H,1,1,84.05511,positive,C3H9O1Na1,FALSE
2M+H,1,2,1.007276,positive,H1,FALSE
2M+NH4,1,2,18.033823,positive,N1H4,FALSE
2M+Na,1,2,22.989218,positive,Na1,FALSE
2M+3H2O+2H,1,2,28.02312,positive,H8O6,FALSE
2M+K,1,2,38.963158,positive,K1,FALSE
2M+ACN+H,1,2,42.033823,positive,C2H4N1,FALSE
2M+ACN+Na,1,2,64.015765,positive,C2H3N1Na1,FALSE
